URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/mnh/egr/d/experienced-kitchen-bath-designer-wanted/7179476384.html,Experienced Kitchen & Bath Designer Wanted,Midtown West,"
        
We are a high end kitchen & bath showroom looking for a full time candidate with at least 5 years' experience in designing and selecting materials for kitchen and bathroom projects. 
Must have experience is selling kitchen cabinets, tiles, shower systems and all the finish materials that are needed for a kitchen and bath remodeling (preferably in manhattan). 

The candidate must have strong skills with design software (20/20 and CAD is a must), Microsoft Office, and all other standard office equipment/software.

Please submit your resume with references and if your qualifications match our needs, we will contact you shortly.    ",Compensation: Base salary plus commission,full-time
https://newyork.craigslist.org/jsy/egr/d/new-york-construction-manager/7175616952.html,Construction Manager Representative (CMR),"Liberty Island, NY","
        
A professional engineering and construction management company is looking for two (2) full-time Construction Managers to provide construction management services for the effort to stabilize and rehabilitate portions of the historic seawall that surrounds the Statue of Liberty National Monument on Ellis Island.

Work identified to complete the water and landside repairs to the seawall include constructing inshore structures to increase the overturning and sliding resistance of concrete gravity walls, installing offshore structures to re-shore concrete sheet piles with corroding tie rods, correcting large voids and erosion at joints and spalls between/along gravity wall and sheet pile components, repair of isolated large voids and settlement behind the walls, re-encasing toe walls, and replacing/restoring displaced granite fascia blocks and grout loss between granite fascia blocks throughout the island. The fender system within the ferry slip will be replaced and the mooring hardware anchored to the seawall behind will be upgraded. Scour protection will be placed at the sea floor within the ferry slip. A temporary berth and fender system will be provided east of the ferry slip to maintain park operations during restoration of the ferry slip north wall. Vibration, settlement, and other monitoring measures for protection of the seawall and additional historic structures shall be performed throughout construction. Monitoring shall also be performed at the access bridge to the island when work is being conducted on the seawall within the vicinity of the island bridge abutment.

The Construction Managers shall perform the following services:

--Meetings/Communications
--Submittal and RFI Reviews
--Construction Modifications
--General Inspections
--Architect/Engineer (A/E) Inspections
--Monitoring Structural Tests and Special Inspections (STSI)
--Monitoring of Dive Team for Water Side Inspections
--Monitoring Archaeological Monitoring and Recordation Services

QUALIFICATIONS/REQUIREMENTS:

--Education and professional qualifications in Construction Management, Civil Engineering, or Coastal Engineering;
--Experience with marine construction including stabilization and rehabilitation of seawall and fendering/berthing systems especially on projects with high visibility and historic significance in close proximity to existing facilities and involving public visitation and park operations;
--Experience with masonry repair on historic marine structures, especially stone seawalls, construction involving cultural/historic sites, and familiarity with the Secretary of the Interior’s Standards for Rehabilitation;
--Minimum five (5) years Construction Management Experience;
--Demonstrated ability to prepare draft modifications, independent government estimates, responses to requests for information, process submittals, prepare field observation reports and conduct progress meetings and prepare meeting minutes;
--Familiarity with the use of Project Management software programs;
--Shall also be computer literate and able to open and manipulate Oracle Primavera Project and Microsoft (MS) Project, Word, and Excel;
--Shall be knowledgeable in construction practices including applicable building codes, applicable safety regulations;
--Shall be knowledgeable in cost breakdown estimating and negotiating, and technical writing;
--Must have a minimum of Occupational Safety and Health Administration (OSHA) 30-hour construction safety training.

Period of Performance: 840 calendar-days (approx. 28 months/ 40 hours per week) and is subject to contract award.

Familiarity with National Park Service policies, procedures and workflows is favorable.

Qualified applicants are encouraged to apply by submitting your resume and a cover letter to dannie @ bce-ak.com

BCE is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or disability.    ",Contract - TBD,full-time
https://newhaven.craigslist.org/egr/d/south-britain-senior-product-manager/7167370758.html,Senior Product Manager,,"
        
This position is based in Brookfield, Connecticut.  For qualified and interested out-of-state candidates willing to relocate, we offer a competitive relocation package.

About Our Company:  We are a 5-year-old medical technology company that has created and patented revolutionary technology for remote / telemedicine care and rehabilitation for knee surgery patients - devices which help patients recover from knee surgery faster and with less pain.  Our first two pioneer devices are complete and are now to market.  Demand is intense, with orders from more than 500 physicians for 9,000 units already, and growing quickly.  We are currently fulfilling these orders, and simultaneously scaling up our manufacturing to fulfill the booming demand.

We proudly source every component in our devices domestically, making them true “Made In America” products.  We aim to design and build products that live up to the historic reputation of the finest American quality, and we seek new members of our team who would like to contribute to this goal.
We are building on a transparent, team-friendly environment with strong camaraderie and mutual respect as the foundation of an industry-leading team.

We are a young, fast-paced, fast-growing company.  Team members work under aggressive targets and deadlines, but enjoy significant promotion opportunities.  

Our entrepreneurial management team has taken two companies public, and we believe this will be our third.  Preparations are now underway for an IPO (public offering).

We seek an exceptional Senior Product Manager for immediate hire, to work on-site, in our headquarters at Brookfield, Connecticut.

The Senior Product Manager will:
-Thoroughly learn and understand the product and the needs of each stakeholder
-Define the product - expand the requirements with additional detail. 
-Create the product roadmap based on Management’s priorities, and lead execution and advancement of it.
-Define the release process and coordinate all of the activities required to bring the product to market.
-Work with product engineering and design teams to ensure the vision of each feature becomes a reality. 
-Monitor and understand the key metrics for the platform, and work to continuously improve them.
-Refine the requirements and evolve the product based on input from our sales & marketing team, user testing, clinical advisors, and executive direction.
 
Requirements:
-Minimum of 5 years work experience as a product manager or similar role in product development
-Success with responsibility for a product and seeing it through from concept to prototype to commercialization to evolution
-Experience in a regulated medical device space. 
-Experience in user testing is a plus; if none, ability to quickly learn and do is a must.
-Experience with medical regulatory requirements is a plus.
-Tenacity.  We have sizable goals, and we'll find some roadblocks along the way, big and small.  An important part of this role is keeping an even keel and finding the route through or around the obstacles. 
-An insatiable intellectual curiosity and the ability to learn quickly in a complex space

Qualified candidates, please reply with an up-to-date resume and a cover letter detailing your past successes and accomplishments with other companies and why you think you might be an ideal fit for this job.
Note:  we will not respond to resumes with no cover letter.

Finally, openness, honesty, and candidness are qualities we respond to—as opposed to framing things in the right way with the right words. Please be who you are and let the dice roll.

Thank you for your interest.
    ","$90,000-$125,000",full-time
https://newyork.craigslist.org/mnh/egr/d/kitchen-designer/7175781731.html,Kitchen Designer,Upper West Side,"
        
Design & Build Showroom featuring Rutt Cabinetry, Biefbi Cucine and Miralis kitchen cabinetry. We are a Home Design Center featuring kitchen, bath, plumbing, tile, architectural hardware and lighting for the home. We carry all major brands of plumbing, hardware, cabinetry, tile and accessories for the home. 

Ideal candidates will have:
- At least 5 years of kitchen and bath industry sales/management experience
- has experience in customer account relations, especially in the kitchen industry operational setting 
- has experience and/or knowledge of kitchen & bath design and installation
- thrives in a friendly team atmosphere
- is self motivated
- detail oriented

We have positions available in the following areas:

Project Designers/Salesperson,
Showroom Manager 



All Applicants should be well-spoken, energetic, detail-driven team players and have the ability to handle high end clientele with patience and professionalism. 

Must have excellent drafting skills in Autocad and/or 20-20.


Design or Architecture degree not necessary but is A+.
    ",Salary + Commission,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-structural-engineer/7176608234.html,Structural Engineer,New York City,"
        
Seeking NYS licensed structural engineer for part time work.
Must be able to travel to site locations in NYC.
    ",Based on experience,contract
https://hudsonvalley.craigslist.org/egr/d/newburgh-creative-internships-photo/7165557681.html,"Creative Internships: Photo/Editing, Video/Editing, Design, Marketing",,"
        
Internships: Photo/Editing, Video/Editing, Industrial Design, Digital Marketing


Newburgh-based artist/entrepreneur Bryan Cardo (IG @art.cardo) is assembling a team of 2-3 interns for on-site creative work & hands-on training from August - November, with possible extension through December 2020. 

About the Artist: Cardo’s is a painter, designer and creative director. Since 2016 he has been working as a full-time artist.  Prior to that, he was Chief Operating Officer of a 300-person healthcare company based just outside NYC.  He also founded and managed a commercial photo studio for 4 years in Union Square, NYC.  

Ideal Internship Candidates: Local undergrad or grad students pursuing careers in the fields of photography, filmmaking, industrial design/fabrication, digital marketing, arts-entrepreneurship or curatorial studies. Individuals should be open-minded, creative, and eager to learn about art and business.  Positive energy and bright minds are needed support the artist in his mission.  

Training: Skills development will be provided in many areas including efficient workflow best-practices for digital and analog outputs as well as digital strategies that aim to expand ones’ target market.  You will develop new skills by working hands-on in the studio assisting the artist with tasks relating to your assignment.  And learn how to make money by being creative and following your passion. All interns will be taught the fundamentals of how to maintain an efficient, organized and clean studio.  

Existing Skills: Candidates should have advanced proficiency with the software and applications required to perform their duties (ie: photoshop raw file editing/resizing, premier editing, sketch-up, rhino, instagram, etc).  These skills will be assessed during the on-boarding process.

Hours/Pay:  Interns will be required approximately 16-20 hours per week on-site (2-3 days per week).  In exchange you be paid $6 per hour.  Bonuses will be given for outstanding achievement at the conclusion of the internship, if merited based upon goals established at the outset.  College credit from artists company will be provided for all who qualify. 

Note: Internship does not confer an opportunity for employment.  Benefits will not be provided.  You must provide  your own computer and transportation. 



    ",$12 / hr + merit-based bonus,part-time
https://newyork.craigslist.org/brk/egr/d/long-island-city-structural-engineer/7176781931.html,Structural Engineer,Queens,"
        
Job Description:

We are currently seeking structural engineers at multiple levels to join our team. As a structural engineer, you will work with other team members in our highly collaborative environment to assure that designs are developed in accordance with appropriate codes and standards, quality control objectives are achieved, and project goals are met within the schedule and budget. This is an outstanding opportunity for a structural engineer to work on a variety of high-profile projects throughout the region.

Duties and Responsibilities:

- Coordinate with architects, contractors, owners, and other engineers from the initial planning stages through final construction.
- Determine design criteria using relevant codes and standards.
- Analyze and/or prepare models and calculations for various structural elements and systems by using various software and/or hand calculations.
- Develop contract documents, including construction drawings and technical specifications
- Produce schematic and detailed designs and evaluation of planning and concept alternatives
- Review shop drawings, RFI's.
- Perform field inspections and write inspection reports.

Skills and Qualifications:

- Familiar with latest version of AutoCAD, Revit, ETABS, SAP2000, SAFE, RAM, Excel.
- Excellent verbal and written communication skills
- Ability to effectively work independently and collaboratively in a team environment
- Must be eligible to work in the United States

Entry Level Candidates:
- Bachelor’s degree in Civil or Structural Engineering.

Intermediate Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 3+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.

Advance Level Candidates:
- Master’s degree in Civil or Structural Engineering.
- 8+ years of related work experience in concrete or steel framing building structural design, support-of-excavation and foundation system design, steel or concrete rebar shop drawing design, construction support design and field inspection.
- NYS PE License    ",The salary is based on level of experience.,full-time
https://hudsonvalley.craigslist.org/egr/d/montgomery-staff-engineer-cad/7166888113.html,Staff Engineer / CAD Draftsperson,,"
        
Hiring a Staff Engineer / CAD Draftsperson to work in our Village of Montgomery office to join our professional staff.  

The applicant’s responsibilities for this position would include engineering design and/or CAD drafting

Engineering design and CAD drafting will include civil/site design including site layout, subdivision layout, site grading, stormwater runoff, water and sewer layouts, and construction details. 

Qualifications are 1-6 years of practical experience in a professional consulting environment.  Candidates should be proficient in technical writing, have solid verbal and written communication skills, and be able to interact effectively with clients, project teams, and colleagues internally. Candidate should have experience in AutoCAD Civil 3D and Microsoft Office software.   

We offer a competitive salary based upon experience with an extensive benefits package including:

• Health and Dental insurance
• FSA Medical and Dependent Care Plan
• 401 (k) Profit Sharing Plan with 3% match gross salary
• Discretionary year-end bonus
• Discretionary year-end profit-sharing
• Paid Time Off (15 days annually with increases based upon years of service
• 10 company-paid Holidays
• Equal Opportunity Employer    ",Compensation based on experience,full-time
https://hudsonvalley.craigslist.org/egr/d/highland-engineering-technician/7168154189.html,Engineering Technician,,"
        
Atlantic Testing Laboratories, Limited (ATL) is seeking a qualified Engineering Technician with experience in Construction Materials Quality Control testing and inspection.

Preferred Certifications:
* ICC
* ACI
* NICET
* QC/QA
* Metal
* NCMA
* NYS Density Inspector
* IE  


Competitive Benefits Package
* Medical
* Dental
* Vision
* Life
* Flexible Spending
* 401(k)

ATL participates in e-Verify: This employer will provide the Social Security Administration (SSA) and if necessary, the Department of Homeland Security (DHS), with information from each new employee's Form I-9 to confirm work authorization.

AA/EOE 

APPLY HERE:     ",Dependent Upon Experience,full-time
https://newyork.craigslist.org/fct/egr/d/architectural-position-revit-user-needed/7176917601.html,Architectural Position. REVIT user needed,CT / NYC,"
        
A small architectural practice is looking for a Revit user for various projects. BIM models, CDs and shop drawings. Preferably in Connecticut // Fairfield County.
Work will consist of assisting in drafting of all project phases including field survey, drawings of existing conditions, construction documents. The position will require editing projects based on comments and independent work to meet deadlines.
Please respond with resume and portfolio sample of work done in REVIT ONLY. 
Documenting experience for Architectural Experience Program available.    ",$$,contract
